Product_Id,Fixed_Unit_Price,Category_Id,Launch_Date
1247,34861.5,2006,2020-05-01
1248,1668.8,2010,2020-05-01
1249,8296.0,2010,2020-05-01
1249,8296.0,2049,2020-05-01
1250,2540.0,2049,2020-05-01
1250,2540.0,2011,2020-05-01
1251,5040.0,2018,2020-05-01
1252,1520.0,2010,2020-05-01
1253,1768.0,2004,2020-05-01
1253,1768.0,2049,2020-05-01
1254,6336.0,2004,2020-05-01
1254,6336.0,2049,2020-05-01
1255,1600.0,2011,2020-05-01
1255,1600.0,2049,2020-05-01
1256,1560.0,2011,2020-05-01
1257,1665.6,2011,2020-05-01
1258,1832.0,2011,2020-05-01
1259,3283.2,2011,2020-05-01
1260,3264.0,2049,2020-05-01
1260,3264.0,2011,2020-05-01
1261,1848.0,2002,2020-05-01
1262,16962.0,2013,2020-05-01
1262,16962.0,2033,2020-05-01
1263,30896.0,2033,2020-05-01
1263,30896.0,2021,2020-05-01
1264,67128.75,2006,2020-05-01
1265,19825.0,2021,2020-05-01
1266,6960.0,2019,2020-05-01
1266,6960.0,2047,2020-05-01
1267,6120.0,2047,2020-05-01
1267,6120.0,2019,2020-05-01
1268,1720.0,2005,2020-05-01
1268,1720.0,2048,2020-05-01
1269,1595.0,2005,2020-05-01
1269,1595.0,2048,2020-05-01
1270,11172.0,2018,2020-05-01
1270,11172.0,2023,2020-05-01
1271,168750.0,2023,2020-05-01
1272,20250.0,2023,2020-05-01
1273,154575.0,2023,2020-05-01
1274,12000.0,2018,2020-05-01
1275,15000.0,2018,2020-05-01
1276,6824.0,2047,2020-05-01
1276,6824.0,2019,2020-05-01
1277,4512.75,2011,2020-05-01
1278,7515.2,2018,2020-05-01
1278,7515.2,2049,2020-05-01
1279,2912.0,2004,2020-05-01
1280,2254.4,2012,2020-05-01
1281,2214.4,2004,2020-05-01
1282,1408.0,2010,2020-05-01
1283,2880.0,2004,2020-05-01
1283,2880.0,2049,2020-05-01
1284,3200.0,2002,2020-05-01
1284,3200.0,2049,2020-05-01
1285,3229.6,2016,2020-05-01
1286,3654.4,2011,2020-05-01
1286,3654.4,2049,2020-05-01
1287,3072.0,2011,2020-05-01
1288,3072.0,2011,2020-05-01
1288,3072.0,2049,2020-05-01
1289,3136.0,2011,2020-05-01
1290,264.0,2049,2020-05-01
1290,264.0,2009,2020-05-01
1291,831.0,2009,2020-05-01
1291,831.0,2049,2020-05-01
1292,3300.0,2011,2020-05-01
1293,4400.0,2016,2020-05-01
1293,4400.0,2049,2020-05-01
1294,4800.0,2016,2020-05-01
1295,880.0,2003,2020-05-01
1296,937.5,2003,2020-05-01
1297,697.0,2003,2020-05-01
1297,697.0,2054,2020-05-01
1298,697.0,2054,2020-05-01
1298,697.0,2003,2020-05-01
1299,960.0,2054,2020-05-01
1299,960.0,2003,2020-05-01
1300,754.0,2054,2020-05-01
1300,754.0,2003,2020-05-01
