Customer_Id,Product_Id,Anchor_Month,Predict_Month,upsell_score,pred_next_qty,Qty_MA3,Last_Qty,incremental_qty,Fixed_Unit_Price,incr_revenue,expected_revenue
183,1164,2025-06-01,2025-07-01,0.7183333333333334,31.0,27.33333333333333,4.0,3.6666666666666714,2070.0,7590.00000000001,4045.4700000000057
183,3454,2025-06-01,2025-07-01,0.58,18.0,15.666666666666666,15.0,2.333333333333334,17908.0,41785.33333333334,22271.582666666673
183,1167,2025-06-01,2025-07-01,0.5337027543838235,22.0,14.666666666666666,20.0,2.0,1384.0,2768.0,1475.344
196,5353,2025-06-01,2025-07-01,0.7574054394572463,1.0,0.0,0.0,1.0,61750.0,61750.0,32912.75
196,1974,2025-06-01,2025-07-01,0.7574054394572463,1.0,0.0,0.0,1.0,29050.0,29050.0,15483.650000000001
196,1960,2025-06-01,2025-07-01,0.7574054394572463,1.0,0.0,0.0,1.0,15050.0,15050.0,8021.650000000001
213,2240,2025-06-01,2025-07-01,0.7118780981090459,1.0,0.0,0.0,1.0,77205.5,77205.5,41150.531500000005
213,1708,2025-06-01,2025-07-01,0.7118780981090459,1.0,0.0,0.0,1.0,47088.0,47088.0,25097.904000000002
213,1150,2025-06-01,2025-07-01,0.3883333333333333,9.0,5.333333333333333,8.0,1.0,2900.0,2900.0,1545.7
214,3734,2025-06-01,2025-07-01,0.3366666666666666,2.0,1.0,1.0,1.0,18575.0,18575.0,9900.475
225,3975,2025-06-01,2025-07-01,0.6212948954091102,1.0,0.0,0.0,1.0,2720.0,2720.0,1449.76
259,4460,2025-06-01,2025-07-01,0.6543019248127403,1.0,0.0,0.0,1.0,439.0,439.0,233.98700000000002
326,3532,2025-06-01,2025-07-01,0.5879727043160466,1.0,0.0,0.0,1.0,55250.0,55250.0,29448.25
326,1262,2025-06-01,2025-07-01,0.5879727043160466,1.0,0.0,0.0,1.0,16962.0,16962.0,9040.746000000001
347,2686,2025-06-01,2025-07-01,0.680472009855352,1.0,0.0,0.0,1.0,62552.826,62552.826,33340.656258
347,2482,2025-06-01,2025-07-01,0.680472009855352,1.0,0.0,0.0,1.0,44000.0,44000.0,23452.0
347,1043,2025-06-01,2025-07-01,0.680472009855352,1.0,0.0,0.0,1.0,24692.5,24692.5,13161.1025
366,1633,2025-06-01,2025-07-01,0.27,2.0,2.0,2.0,0.0,3975.0,0.0,0.0
421,5531,2025-06-01,2025-07-01,0.6596987448227187,1.0,0.0,0.0,1.0,189.0,189.0,100.73700000000001
421,5533,2025-06-01,2025-07-01,0.6596987448227187,1.0,0.0,0.0,1.0,124.6,124.6,66.4118
421,1666,2025-06-01,2025-07-01,0.3488119057956265,17.0,15.0,10.0,2.0,3712.0,7424.0,3956.992
478,3033,2025-06-01,2025-07-01,0.7682351894730767,1.0,0.0,0.0,1.0,43929.6,43929.6,23414.4768
480,3153,2025-06-01,2025-07-01,0.6262948954091102,1.0,0.0,0.0,1.0,5616.0,5616.0,2993.328
494,5148,2025-06-01,2025-07-01,0.6538953874356445,1.0,0.0,0.0,1.0,15792.0,15792.0,8417.136
507,3658,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,12252.24,12252.24,6530.443920000001
507,2564,2025-06-01,2025-07-01,0.405,2.0,1.0,1.0,1.0,11828.0,11828.0,6304.3240000000005
509,1687,2025-06-01,2025-07-01,0.6738953874356445,1.0,0.0,0.0,1.0,600.0,600.0,319.8
529,1306,2025-06-01,2025-07-01,0.6627325673257427,1.0,0.0,0.0,1.0,6376.0,6376.0,3398.4080000000004
532,1971,2025-06-01,2025-07-01,0.6760990345549094,1.0,0.0,0.0,1.0,68427.62,68427.62,36471.92146
532,1911,2025-06-01,2025-07-01,0.6760990345549094,1.0,0.0,0.0,1.0,30982.5,30982.5,16513.6725
532,4219,2025-06-01,2025-07-01,0.6760990345549094,1.0,0.0,0.0,1.0,15552.0,15552.0,8289.216
641,3074,2025-06-01,2025-07-01,0.7569096817719845,1.0,0.0,0.0,1.0,4928.0,4928.0,2626.6240000000003
641,1442,2025-06-01,2025-07-01,0.7569096817719845,1.0,0.0,0.0,1.0,4400.0,4400.0,2345.2000000000003
641,1150,2025-06-01,2025-07-01,0.7569096817719845,1.0,0.0,0.0,1.0,2900.0,2900.0,1545.7
652,1405,2025-06-01,2025-07-01,0.57,7.0,4.0,6.0,1.0,2552.0,2552.0,1360.2160000000001
652,1136,2025-06-01,2025-07-01,0.5116666666666667,3.0,2.0,1.0,1.0,2552.0,2552.0,1360.2160000000001
652,1134,2025-06-01,2025-07-01,0.505,3.0,1.3333333333333333,1.0,1.0,28714.0,28714.0,15304.562000000002
676,3975,2025-06-01,2025-07-01,0.6988053431886854,1.0,0.0,0.0,1.0,2720.0,2720.0,1449.76
676,2341,2025-06-01,2025-07-01,0.345,7.0,4.333333333333333,6.0,1.0,6171.0,6171.0,3289.143
691,5499,2025-06-01,2025-07-01,0.6150420356287953,1.0,0.0,0.0,1.0,12696.0,12696.0,6766.968000000001
743,4892,2025-06-01,2025-07-01,0.635333059352277,1.0,0.0,0.0,1.0,14737.6,14737.6,7855.140800000001
743,2159,2025-06-01,2025-07-01,0.635333059352277,1.0,0.0,0.0,1.0,10117.5,10117.5,5392.6275000000005
827,2371,2025-06-01,2025-07-01,0.6820894320898185,1.0,0.0,0.0,1.0,31450.0,31450.0,16762.850000000002
827,1175,2025-06-01,2025-07-01,0.6820894320898185,1.0,0.0,0.0,1.0,3762.0,3762.0,2005.1460000000002
827,1113,2025-06-01,2025-07-01,0.6820894320898185,1.0,0.0,0.0,1.0,883.5,883.5,470.9055
